time,location,vehicle_count
2024-09-01 00:00:00,Sector 17,252
2024-09-01 01:00:00,Sector 17,242
2024-09-01 02:00:00,Sector 17,164
2024-09-01 03:00:00,Sector 17,256
2024-09-01 04:00:00,Sector 17,221
2024-09-01 05:00:00,Sector 17,170
2024-09-01 06:00:00,Sector 17,252
2024-09-01 07:00:00,Sector 17,271
2024-09-01 08:00:00,Sector 17,224
2024-09-01 09:00:00,Sector 17,237
2024-09-01 10:00:00,Sector 17,266
2024-09-01 11:00:00,Sector 17,249
2024-09-01 12:00:00,Sector 17,253
2024-09-01 13:00:00,Sector 17,280
2024-09-01 14:00:00,Sector 17,299
2024-09-01 15:00:00,Sector 17,202
2024-09-01 16:00:00,Sector 17,151
2024-09-01 17:00:00,Sector 17,237
2024-09-01 18:00:00,Sector 17,187
2024-09-01 19:00:00,Sector 17,279
2024-09-01 20:00:00,Sector 17,170
2024-09-01 21:00:00,Sector 17,207
2024-09-01 22:00:00,Sector 17,171
2024-09-01 23:00:00,Sector 17,238
2024-09-02 00:00:00,Sector 17,198
2024-09-02 01:00:00,Sector 17,208
2024-09-02 02:00:00,Sector 17,164
2024-09-02 03:00:00,Sector 17,200
2024-09-02 04:00:00,Sector 17,257
2024-09-02 05:00:00,Sector 17,204
2024-09-02 06:00:00,Sector 17,213
2024-09-02 07:00:00,Sector 17,280
2024-09-02 08:00:00,Sector 17,200
2024-09-02 09:00:00,Sector 17,284
2024-09-02 10:00:00,Sector 17,170
2024-09-02 11:00:00,Sector 17,222
2024-09-02 12:00:00,Sector 17,167
2024-09-02 13:00:00,Sector 17,281
2024-09-02 14:00:00,Sector 17,238
2024-09-02 15:00:00,Sector 17,209
2024-09-02 16:00:00,Sector 17,163
2024-09-02 17:00:00,Sector 17,158
2024-09-02 18:00:00,Sector 17,239
2024-09-02 19:00:00,Sector 17,202
2024-09-02 20:00:00,Sector 17,279
2024-09-02 21:00:00,Sector 17,233
2024-09-02 22:00:00,Sector 17,241
2024-09-02 23:00:00,Sector 17,260
2024-09-03 00:00:00,Sector 17,157
2024-09-03 01:00:00,Sector 17,184
2024-09-03 02:00:00,Sector 17,230
2024-09-03 03:00:00,Sector 17,199
2024-09-03 04:00:00,Sector 17,253
2024-09-03 05:00:00,Sector 17,281
2024-09-03 06:00:00,Sector 17,151
2024-09-03 07:00:00,Sector 17,283
2024-09-03 08:00:00,Sector 17,203
2024-09-03 09:00:00,Sector 17,255
2024-09-03 10:00:00,Sector 17,153
2024-09-03 11:00:00,Sector 17,203
2024-09-03 12:00:00,Sector 17,295
2024-09-03 13:00:00,Sector 17,193
2024-09-03 14:00:00,Sector 17,163
2024-09-03 15:00:00,Sector 17,244
2024-09-03 16:00:00,Sector 17,197
2024-09-03 17:00:00,Sector 17,164
2024-09-03 18:00:00,Sector 17,189
2024-09-03 19:00:00,Sector 17,231
2024-09-03 20:00:00,Sector 17,260
2024-09-03 21:00:00,Sector 17,202
2024-09-03 22:00:00,Sector 17,173
2024-09-03 23:00:00,Sector 17,273
2024-09-04 00:00:00,Sector 17,190
2024-09-04 01:00:00,Sector 17,164
2024-09-04 02:00:00,Sector 17,194
2024-09-04 03:00:00,Sector 17,214
2024-09-04 04:00:00,Sector 17,238
2024-09-04 05:00:00,Sector 17,220
2024-09-04 06:00:00,Sector 17,158
2024-09-04 07:00:00,Sector 17,237
2024-09-04 08:00:00,Sector 17,278
2024-09-04 09:00:00,Sector 17,285
2024-09-04 10:00:00,Sector 17,212
2024-09-04 11:00:00,Sector 17,288
2024-09-04 12:00:00,Sector 17,230
2024-09-04 13:00:00,Sector 17,285
2024-09-04 14:00:00,Sector 17,182
2024-09-04 15:00:00,Sector 17,272
2024-09-04 16:00:00,Sector 17,154
2024-09-04 17:00:00,Sector 17,190
2024-09-04 18:00:00,Sector 17,177
2024-09-04 19:00:00,Sector 17,284
2024-09-04 20:00:00,Sector 17,221
2024-09-04 21:00:00,Sector 17,161
2024-09-04 22:00:00,Sector 17,182
2024-09-04 23:00:00,Sector 17,197
2024-09-05 00:00:00,Sector 17,211
2024-09-05 01:00:00,Sector 17,186
2024-09-05 02:00:00,Sector 17,248
2024-09-05 03:00:00,Sector 17,253
2024-09-05 04:00:00,Sector 17,184
2024-09-05 05:00:00,Sector 17,250
2024-09-05 06:00:00,Sector 17,280
2024-09-05 07:00:00,Sector 17,150
2024-09-05 08:00:00,Sector 17,154
2024-09-05 09:00:00,Sector 17,291
2024-09-05 10:00:00,Sector 17,252
2024-09-05 11:00:00,Sector 17,176
2024-09-05 12:00:00,Sector 17,286
2024-09-05 13:00:00,Sector 17,164
2024-09-05 14:00:00,Sector 17,239
2024-09-05 15:00:00,Sector 17,191
2024-09-05 16:00:00,Sector 17,273
2024-09-05 17:00:00,Sector 17,212
2024-09-05 18:00:00,Sector 17,245
2024-09-05 19:00:00,Sector 17,201
2024-09-05 20:00:00,Sector 17,245
2024-09-05 21:00:00,Sector 17,281
2024-09-05 22:00:00,Sector 17,292
2024-09-05 23:00:00,Sector 17,178
2024-09-06 00:00:00,Sector 17,185
2024-09-06 01:00:00,Sector 17,162
2024-09-06 02:00:00,Sector 17,220
2024-09-06 03:00:00,Sector 17,235
2024-09-06 04:00:00,Sector 17,177
2024-09-06 05:00:00,Sector 17,215
2024-09-06 06:00:00,Sector 17,194
2024-09-06 07:00:00,Sector 17,211
2024-09-06 08:00:00,Sector 17,283
2024-09-06 09:00:00,Sector 17,177
2024-09-06 10:00:00,Sector 17,177
2024-09-06 11:00:00,Sector 17,257
2024-09-06 12:00:00,Sector 17,193
2024-09-06 13:00:00,Sector 17,233
2024-09-06 14:00:00,Sector 17,179
2024-09-06 15:00:00,Sector 17,224
2024-09-06 16:00:00,Sector 17,277
2024-09-06 17:00:00,Sector 17,241
2024-09-06 18:00:00,Sector 17,278
2024-09-06 19:00:00,Sector 17,270
2024-09-06 20:00:00,Sector 17,176
2024-09-06 21:00:00,Sector 17,270
2024-09-06 22:00:00,Sector 17,265
2024-09-06 23:00:00,Sector 17,152
2024-09-07 00:00:00,Sector 17,252
2024-09-07 01:00:00,Sector 17,286
2024-09-07 02:00:00,Sector 17,211
2024-09-07 03:00:00,Sector 17,200
2024-09-07 04:00:00,Sector 17,208
2024-09-07 05:00:00,Sector 17,267
2024-09-07 06:00:00,Sector 17,245
2024-09-07 07:00:00,Sector 17,262
2024-09-07 08:00:00,Sector 17,211
2024-09-07 09:00:00,Sector 17,201
2024-09-07 10:00:00,Sector 17,161
2024-09-07 11:00:00,Sector 17,188
2024-09-07 12:00:00,Sector 17,279
2024-09-07 13:00:00,Sector 17,280
2024-09-07 14:00:00,Sector 17,262
2024-09-07 15:00:00,Sector 17,250
2024-09-07 16:00:00,Sector 17,262
2024-09-07 17:00:00,Sector 17,230
2024-09-07 18:00:00,Sector 17,262
2024-09-07 19:00:00,Sector 17,151
2024-09-07 20:00:00,Sector 17,279
2024-09-07 21:00:00,Sector 17,203
2024-09-07 22:00:00,Sector 17,236
2024-09-07 23:00:00,Sector 17,278
2024-09-08 00:00:00,Sector 17,296
2024-09-08 01:00:00,Sector 17,275
2024-09-08 02:00:00,Sector 17,279
2024-09-08 03:00:00,Sector 17,202
2024-09-08 04:00:00,Sector 17,217
2024-09-08 05:00:00,Sector 17,272
2024-09-08 06:00:00,Sector 17,294
2024-09-08 07:00:00,Sector 17,187
2024-09-08 08:00:00,Sector 17,173
2024-09-08 09:00:00,Sector 17,218
2024-09-08 10:00:00,Sector 17,265
2024-09-08 11:00:00,Sector 17,247
2024-09-08 12:00:00,Sector 17,288
2024-09-08 13:00:00,Sector 17,293
2024-09-08 14:00:00,Sector 17,246
2024-09-08 15:00:00,Sector 17,273
2024-09-08 16:00:00,Sector 17,219
2024-09-08 17:00:00,Sector 17,242
2024-09-08 18:00:00,Sector 17,152
2024-09-08 19:00:00,Sector 17,297
2024-09-08 20:00:00,Sector 17,296
2024-09-08 21:00:00,Sector 17,239
2024-09-08 22:00:00,Sector 17,296
2024-09-08 23:00:00,Sector 17,297
2024-09-09 00:00:00,Sector 17,245
2024-09-09 01:00:00,Sector 17,201
2024-09-09 02:00:00,Sector 17,277
2024-09-09 03:00:00,Sector 17,188
2024-09-09 04:00:00,Sector 17,231
2024-09-09 05:00:00,Sector 17,253
2024-09-09 06:00:00,Sector 17,278
2024-09-09 07:00:00,Sector 17,160
2024-09-09 08:00:00,Sector 17,191
2024-09-09 09:00:00,Sector 17,248
2024-09-09 10:00:00,Sector 17,156
2024-09-09 11:00:00,Sector 17,293
2024-09-09 12:00:00,Sector 17,239
2024-09-09 13:00:00,Sector 17,261
2024-09-09 14:00:00,Sector 17,209
2024-09-09 15:00:00,Sector 17,262
2024-09-09 16:00:00,Sector 17,151
